frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,lon,lat,ncells,case,domain,size_km2
0,3,29.876089270377864,56.08511320288433,6,0.3,1,2024-08-06 12:00:00,2024-08-06 12:00:00,13.93042556601442,51.999380446351886,11,case1,DOM01,2.0746915178496455
0,4,33.90662617665228,41.30996636614744,7,0.3,2,2024-08-06 12:00:00,2024-08-06 12:00:00,13.856549831830737,52.01953313088327,24,case1,DOM01,4.526599675308318
0,5,37.02144749527414,68.02227646417552,13,0.3,3,2024-08-06 12:00:00,2024-08-06 12:00:00,13.990111382320878,52.03510723747637,33,case1,DOM01,6.224074553548936
0,6,39.133686337511534,27.62641454677259,34,0.3,4,2024-08-06 12:00:00,2024-08-06 12:00:00,13.788132072733864,52.04566843168756,86,case1,DOM01,16.22031550318814
0,7,41.75720692067766,14.292869320754777,6,0.3,5,2024-08-06 12:00:00,2024-08-06 12:00:00,13.721464346603774,52.05878603460339,25,case1,DOM01,4.715207995112831
0,8,41.24176610547964,56.651467378122724,5,0.3,6,2024-08-06 12:00:00,2024-08-06 12:00:00,13.933257336890614,52.056208830527396,21,case1,DOM01,3.9607747158947784
0,14,83.37520288271173,63.99739997549437,15,0.3,8,2024-08-06 12:00:00,2024-08-06 12:00:00,13.969986999877472,52.26687601441356,41,case1,DOM01,7.732941111985043
0,15,86.90435621649762,173.29769842564005,11,0.3,9,2024-08-06 12:00:00,2024-08-06 12:00:00,14.5164884921282,52.28452178108248,21,case1,DOM01,3.9607747158947784
0,16,90.03648771203385,163.1492889556865,20,0.3,10,2024-08-06 12:00:00,2024-08-06 12:00:00,14.465746444778432,52.300182438560164,30,case1,DOM01,5.658249594135397
0,17,113.42002362628617,143.1105247553258,428,0.3,11,2024-08-06 12:00:00,2024-08-06 12:00:00,14.36555262377663,52.41710011813143,583,case1,DOM01,109.95865044603123
0,18,101.80521499787253,110.76612844804875,22,0.3,12,2024-08-06 12:00:00,2024-08-06 12:00:00,14.203830642240243,52.35902607498936,33,case1,DOM01,6.224074553548936
0,19,102.82793084467498,130.7848002816265,8,0.3,13,2024-08-06 12:00:00,2024-08-06 12:00:00,14.303924001408133,52.36413965422338,14,case1,DOM01,2.6405164772631853
0,21,114.36281785138098,53.007581568616494,20,0.3,15,2024-08-06 12:00:00,2024-08-06 12:00:00,13.915037907843084,52.421814089256905,55,case1,DOM01,10.373457589248229
0,22,111.69061602475276,60.42796362095831,8,0.3,16,2024-08-06 12:00:00,2024-08-06 12:00:00,13.952139818104792,52.40845308012376,27,case1,DOM01,5.092424634721858
0,23,119.91520226333114,95.63060539378414,159,0.3,17,2024-08-06 12:00:00,2024-08-06 12:00:00,14.12815302696892,52.44957601131666,0,case1,DOM01,0.0
0,24,123.33138386296852,161.816399883245,166,0.3,18,2024-08-06 12:00:00,2024-08-06 12:00:00,14.459081999416226,52.46665691931484,257,case1,DOM01,48.4723381897599
0,25,119.89003492031704,26.264748198079474,34,0.3,19,2024-08-06 12:00:00,2024-08-06 12:00:00,13.781323740990397,52.44945017460159,80,case1,DOM01,15.08866558436106
0,29,134.86969272108564,11.8426226720322,17,0.3,21,2024-08-06 12:00:00,2024-08-06 12:00:00,13.709213113360162,52.52434846360543,48,case1,DOM01,9.053199350616635
0,31,135.99069643973712,56.07665935624128,11,0.3,22,2024-08-06 12:00:00,2024-08-06 12:00:00,13.930383296781207,52.529953482198685,29,case1,DOM01,5.469641274330884
1,3,34.08165103676599,41.21670986844745,10,0.3,26,2024-08-06 12:05:00,2024-08-06 12:05:00,13.856083549342237,52.02040825518383,22,case1,DOM01,4.149383035699291
1,4,37.81453631352617,67.80433236260376,15,0.3,27,2024-08-06 12:05:00,2024-08-06 12:05:00,13.98902166181302,52.03907268156763,26,case1,DOM01,4.903816314917345
1,5,38.73720597057074,26.564874598968085,31,0.3,28,2024-08-06 12:05:00,2024-08-06 12:05:00,13.78282437299484,52.04368602985286,91,case1,DOM01,17.163357102210703
1,9,79.7005579659407,64.52902311305286,6,0.3,29,2024-08-06 12:05:00,2024-08-06 12:05:00,13.972645115565264,52.2485027898297,37,case1,DOM01,6.97850783276699
1,11,86.73534609795841,173.62685905795456,9,0.3,30,2024-08-06 12:05:00,2024-08-06 12:05:00,14.518134295289773,52.28367673048979,21,case1,DOM01,3.9607747158947784
1,12,89.58769268264611,162.41009467964724,24,0.3,31,2024-08-06 12:05:00,2024-08-06 12:05:00,14.462050473398236,52.29793846341323,33,case1,DOM01,6.224074553548936
1,14,101.01902336656222,110.94607350655853,23,0.3,32,2024-08-06 12:05:00,2024-08-06 12:05:00,14.204730367532793,52.35509511683281,34,case1,DOM01,6.41268287335345
1,16,107.92350750701385,74.46827828318276,8,0.3,34,2024-08-06 12:05:00,2024-08-06 12:05:00,14.022341391415914,52.38961753753507,20,case1,DOM01,3.772166396090265
1,17,112.89859420237202,54.918721560416536,25,0.3,35,2024-08-06 12:05:00,2024-08-06 12:05:00,13.924593607802084,52.41449297101186,64,case1,DOM01,12.070932467488849
1,18,119.86486053154631,94.50805170192324,159,0.3,36,2024-08-06 12:05:00,2024-08-06 12:05:00,14.122540258509616,52.449324302657736,0,case1,DOM01,0.0
1,19,120.91162759315749,24.568581384779446,45,0.3,37,2024-08-06 12:05:00,2024-08-06 12:05:00,13.772842906923897,52.45455813796578,73,case1,DOM01,13.768407345729466
1,20,120.46472049839663,61.078740179884875,6,0.3,38,2024-08-06 12:05:00,2024-08-06 12:05:00,13.955393700899425,52.45232360249199,19,case1,DOM01,3.5835580762857515
1,23,135.12368321615867,12.08734321809027,15,0.3,40,2024-08-06 12:05:00,2024-08-06 12:05:00,13.710436716090452,52.52561841608079,44,case1,DOM01,8.298766071398582
1,29,114.79183531941925,132.86612580181782,11,0.5,45,2024-08-06 12:05:00,2024-08-06 12:05:00,14.314330629009088,52.423959176597094,546,case1,DOM01,102.98014261326423
2,4,40.67229939121149,28.02480124739922,18,0.3,46,2024-08-06 12:10:00,2024-08-06 12:10:00,13.790124006236997,52.05336149695606,60,case1,DOM01,11.316499188270795
2,8,90.62554411267605,162.71026952112675,14,0.3,48,2024-08-06 12:10:00,2024-08-06 12:10:00,14.463551347605634,52.30312772056338,30,case1,DOM01,5.658249594135397
